Feature,Importance,Importance_Pct,Cumulative_Pct
Composite_Risk_Score,0.51355094,51.355087,51.355087
Aircraft_Risk,0.10390978,10.390977,61.746063
Weather_Aircraft_Interaction,0.088174455,8.817445,70.56351
Weather_Risk_Score,0.055647448,5.564744,76.12825
Engine.Type_encoded,0.054636173,5.4636164,81.591866
Total_People_Involved,0.028918186,2.8918183,84.48368
Broad.Phase.of.Flight_encoded,0.025605006,2.5605001,87.04418
Weather.Condition_encoded,0.018082324,1.8082323,88.85242
Aircraft.Category_encoded,0.014465083,1.4465082,90.29893
Aircraft_Age_Proxy,0.012803979,1.2803978,91.57932
Year,0.012093536,1.2093533,92.78867
Month_Risk_Interaction,0.011926191,1.1926188,93.98129
DayOfYear,0.006359891,0.635989,94.61728
Year_Cos,0.006160223,0.6160222,95.2333
Month_Cos,0.006014366,0.6014365,95.83473
Month,0.005957776,0.5957775,96.43051
WeekOfYear,0.0058052107,0.58052105,97.01103
Month_Sin,0.0057271146,0.5727114,97.58374
Year_Sin,0.0056182197,0.56182194,98.14556
Weather_Phase_Interaction,0.0054539,0.54538995,98.69095
Is_Holiday_Season,0.005009831,0.50098306,99.19193
Is_Summer,0.0044518453,0.44518447,99.637115
Quarter,0.0036286716,0.36286712,99.999985
