airline,avail_seat_km_per_week,incidents_85_99,fatal_accidents_85_99,fatalities_85_99,incidents_00_14,fatal_accidents_00_14,fatalities_00_14,Total_Incidents,Total_Fatal_Accidents,Total_Fatalities,Incident_Rate,Safety_Score,Safety_Score_Normalized
Aer Lingus,320906734,2,0,0,0,0,0,2,0,0,7.990179988253422e-06,0.8,0.004987531172069825
Aeroflot*,1197672318,76,14,128,6,1,88,82,15,216,8.777710192363745e-05,82.0,0.5112219451371571
Aerolineas Argentinas,385803648,6,0,0,1,0,0,7,0,0,2.326146738342654e-05,2.8000000000000003,0.01745635910224439
Aeromexico*,596871813,3,1,64,5,0,0,8,1,64,1.71836063171746e-05,16.400000000000002,0.10224438902743144
Air Canada,1865253802,2,0,0,2,0,0,4,0,0,2.7493336953429395e-06,1.6,0.00997506234413965
Air France,3004002661,14,4,79,6,2,337,20,6,416,8.535620149048078e-06,93.60000000000001,0.5835411471321696
Air India*,869253552,2,1,329,4,1,158,6,2,487,8.84932557895109e-06,100.60000000000001,0.6271820448877806
Air New Zealand*,710174817,3,0,0,5,1,7,8,1,7,1.4442092300226208e-05,5.0,0.031172069825436407
Alaska Airlines*,965346773,5,0,0,5,1,88,10,1,88,1.3280733078612384e-05,22.0,0.1371571072319202
Alitalia,698012498,7,2,50,4,0,0,11,2,50,2.0203884805747566e-05,15.2,0.09476309226932668
All Nippon Airways,1841234177,3,1,1,7,0,0,10,1,1,6.962999590525644e-06,4.6000000000000005,0.028678304239401497
American*,5228357340,21,5,101,17,3,416,38,8,517,9.318021999993733e-06,121.80000000000001,0.759351620947631
Austrian Airlines,358239823,1,0,0,1,0,0,2,0,0,7.157502877904683e-06,0.8,0.004987531172069825
Avianca,396922563,5,3,323,0,0,0,5,3,323,1.6149891711387568e-05,67.80000000000001,0.42269326683291775
British Airways*,3179760952,4,0,0,6,0,0,10,0,0,4.031910893316995e-06,4.0,0.024937655860349125
Cathay Pacific*,2582459303,0,0,0,2,0,0,2,0,0,9.928917606267362e-07,0.8,0.004987531172069825
China Airlines,813216487,12,6,535,2,1,225,14,7,760,2.207126667455028e-05,160.4,1.0
Condor,417982610,2,1,16,0,0,0,2,1,16,6.134471872173256e-06,4.4,0.027431421446384042
COPA,550491507,3,1,47,0,0,0,3,1,47,6.986763278354894e-06,11.0,0.0685785536159601
Delta / Northwest*,6525658894,24,12,407,24,2,51,48,14,458,9.43022958111447e-06,116.4,0.7256857855361596
Egyptair,557699891,8,3,282,4,1,14,12,4,296,2.7585831793923345e-05,65.60000000000001,0.40897755610972575
El Al,335448023,1,1,4,1,0,0,2,1,4,7.643814803769358e-06,2.0,0.012468827930174562
Ethiopian Airlines,488560643,25,5,167,5,2,92,30,7,259,7.87241850374314e-05,66.60000000000001,0.41521197007481303
Finnair,506464950,1,0,0,0,0,0,1,0,0,2.531372175016814e-06,0.4,0.0024937655860349127
Garuda Indonesia,613356665,10,3,260,4,2,22,14,5,282,2.926310085620077e-05,64.0,0.399002493765586
Gulf Air,301379762,1,0,0,3,1,143,4,1,143,1.701575810589806e-05,30.6,0.19077306733167082
Hawaiian Airlines,493877795,0,0,0,1,0,0,1,0,0,2.5958876771353572e-06,0.4,0.0024937655860349127
Iberia,1173203126,4,1,148,5,0,0,9,1,148,9.835007495932584e-06,33.6,0.20947630922693267
Japan Airlines,1574217531,3,1,520,0,0,0,3,1,520,2.443216245794588e-06,105.6,0.6583541147132169
Kenya Airways,277414794,2,0,0,2,2,283,4,2,283,1.8485694487530208e-05,59.0,0.3678304239401496
KLM*,1874561773,7,1,3,1,0,0,8,1,3,5.471364243172506e-06,4.2,0.026184538653366583
Korean Air,1734522605,12,5,425,1,0,0,13,5,425,9.608791847752636e-06,92.2,0.5748129675810474
LAN Airlines,1001965891,3,2,21,0,0,0,3,2,21,3.8386075620949914e-06,6.2,0.03865336658354115
Lufthansa*,3426529504,6,1,2,3,0,0,9,1,2,3.367390102724047e-06,4.4,0.027431421446384042
Malaysia Airlines,1039171244,3,1,34,3,2,537,6,3,571,7.402348493303469e-06,117.8,0.7344139650872817
Pakistan International,348563137,8,3,234,10,2,46,18,5,280,6.620586237414737e-05,65.2,0.40648379052369077
Philippine Airlines,413007158,7,4,74,2,1,1,9,5,75,2.7937679323372742e-05,20.6,0.128428927680798
Qantas*,1917428984,1,0,0,5,0,0,6,0,0,4.0117823171007685e-06,2.4000000000000004,0.014962593516209478
Royal Air Maroc,295705339,5,3,51,3,0,0,8,3,51,3.468456231157279e-05,14.600000000000001,0.09102244389027432
SAS*,682971852,5,0,0,6,1,110,11,1,110,2.0648821853003837e-05,26.8,0.16708229426433915
Saudi Arabian,859673901,7,2,313,11,0,0,18,2,313,2.6843810251863254e-05,70.6,0.44014962593516205
Singapore Airlines,2376857805,2,2,6,2,1,83,4,3,89,2.157556551097565e-06,20.6,0.128428927680798
South African,651502442,2,1,159,1,0,0,3,1,159,5.9035140902109565e-06,33.4,0.2082294264339152
Southwest Airlines,3276525770,1,0,0,8,0,0,9,0,0,3.5215537274597837e-06,3.6,0.022443890274314215
Sri Lankan / AirLanka,325582976,2,1,14,4,0,0,6,1,14,2.362625892426173e-05,5.6000000000000005,0.03491271820448878
SWISS*,792601299,2,1,229,3,0,0,5,1,229,8.08761784562305e-06,48.2,0.300498753117207
TACA,259373346,3,1,3,1,1,3,4,2,6,1.9771519345727716e-05,3.6000000000000005,0.022443890274314218
TAM,1509195646,8,3,98,7,2,188,15,5,286,1.2742396442594316e-05,65.2,0.40648379052369077
TAP - Air Portugal,619130754,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Thai Airways,1702802250,8,4,308,2,1,1,10,5,309,7.529067347962936e-06,67.80000000000001,0.42269326683291775
Turkish Airlines,1946098294,8,3,64,8,2,84,16,5,148,1.054048532700708e-05,38.0,0.2369077306733167
United / Continental*,7139291291,19,8,319,14,2,109,33,10,428,5.9260353140411324e-06,102.80000000000001,0.6408977556109726
US Airways / America West*,2455687887,16,7,224,11,2,23,27,9,247,1.4096003322992575e-05,63.800000000000004,0.3977556109725686
Vietnam Airlines,625084918,7,3,171,1,0,0,8,3,171,1.6408027071307865e-05,38.6,0.24064837905236908
Virgin Atlantic,1005248585,1,0,0,0,0,0,1,0,0,1.2753574600169988e-06,0.4,0.0024937655860349127
Xiamen Airlines,430462962,9,1,82,2,0,0,11,1,82,3.276138796481195e-05,21.200000000000003,0.13216957605985039
