Feature,Mean |SHAP|
Composite_Risk_Score,0.3270253252533457
Weather_Aircraft_Interaction,0.057802305075735055
Broad.Phase.of.Flight_encoded,0.04668252056476128
Total_People_Involved,0.027741383442044985
Year,0.026229592958612793
Engine.Type_encoded,0.02555494881491067
Aircraft_Risk,0.01034112708106115
Month_Risk_Interaction,0.006358808051662446
Weather_Risk_Score,0.006282040240816139
Year_Cos,0.006010015988273465
WeekOfYear,0.004859143460127088
Aircraft_Age_Proxy,0.0036693928113489364
DayOfYear,0.003045527966326196
Year_Sin,0.0028097116027595874
Aircraft.Category_encoded,0.0023346985967679403
Weather.Condition_encoded,0.0013087054187124185
Month_Sin,0.0011595162328761127
Month_Cos,0.0010168476041642898
Month,0.000901944439034814
Is_Holiday_Season,0.0008627790961428304
Weather_Phase_Interaction,0.000825719175188529
Quarter,0.0006400718300267598
Is_Summer,0.0006190666743047282
