threshold,precision,recall,f1,true_positives,false_positives,true_negatives,false_negatives,alert_rate
0.1,0.9281388776746063,1.0,0.9627303182579564,4598,356,12043,0,0.2914631993881273
0.15000000000000002,0.9984799131378936,1.0,0.9992393784635445,4598,7,12392,0,0.2709301641466141
0.2,1.0,1.0,1.0,4598,0,12399,0,0.27051832676354653
0.25,1.0,1.0,1.0,4598,0,12399,0,0.27051832676354653
0.30000000000000004,1.0,1.0,1.0,4598,0,12399,0,0.27051832676354653
0.35,1.0,1.0,1.0,4598,0,12399,0,0.27051832676354653
0.4,1.0,1.0,1.0,4598,0,12399,0,0.27051832676354653
0.45000000000000007,1.0,1.0,1.0,4598,0,12399,0,0.27051832676354653
0.5,1.0,1.0,1.0,4598,0,12399,0,0.27051832676354653
0.55,1.0,1.0,1.0,4598,0,12399,0,0.27051832676354653
0.6,1.0,1.0,1.0,4598,0,12399,0,0.27051832676354653
0.65,1.0,1.0,1.0,4598,0,12399,0,0.27051832676354653
0.7000000000000001,1.0,0.9995650282731623,0.999782466826191,4596,0,12399,2,0.2704006589398129
0.75,1.0,0.9993475424097433,0.9996736647449146,4595,0,12399,3,0.2703418250279461
0.8,1.0,0.992822966507177,0.9963985594237695,4565,0,12399,33,0.2685768076719421
0.85,1.0,0.9410613310134841,0.9696358543417367,4327,0,12399,271,0.25457433664764373
0.9,1.0,0.8220965637233579,0.9023633325375985,3780,0,12399,818,0.22239218685650408
